accuracy,loss,val_accuracy,val_loss,modelo,epoca
0.7960555553436279,0.6063967347145081,0.843999981880188,0.44919833540916443,dense,1
0.8491296172142029,0.43677768111228943,0.862333357334137,0.4036584496498108,dense,2
0.8617963194847107,0.3979825973510742,0.8686666488647461,0.38133710622787476,dense,3
0.8689814805984497,0.37346839904785156,0.8705000281333923,0.3669702410697937,dense,4
0.8746111392974854,0.35510897636413574,0.8736666440963745,0.3560253381729126,dense,5
0.8789814710617065,0.3410280644893646,0.875,0.34859463572502136,dense,6
0.88227778673172,0.3296620845794678,0.875166654586792,0.3477960526943207,dense,7
0.8856852054595947,0.3193000257015228,0.8768333196640015,0.3439813554286957,dense,8
0.8886851668357849,0.310159832239151,0.878166675567627,0.33881568908691406,dense,9
0.8909444212913513,0.30201563239097595,0.8796666860580444,0.335595041513443,dense,10
0.8929259181022644,0.2949395477771759,0.8823333382606506,0.3307255804538727,dense,11
0.8952962756156921,0.28783154487609863,0.8806666731834412,0.3297716975212097,dense,12
0.897777795791626,0.2816847264766693,0.8821666836738586,0.3255690932273865,dense,13
0.8997963070869446,0.2754771113395691,0.8834999799728394,0.3228591978549957,dense,14
0.901888906955719,0.2698211669921875,0.8820000290870667,0.3201613128185272,dense,15
0.9036666750907898,0.26493141055107117,0.8853333592414856,0.3171048164367676,dense,16
0.9052777886390686,0.25979822874069214,0.8851666450500488,0.3154429793357849,dense,17
0.9073888659477234,0.25543877482414246,0.8824999928474426,0.31448009610176086,dense,18
0.9095370173454285,0.25074607133865356,0.8866666555404663,0.31332093477249146,dense,19
0.9108518362045288,0.24637283384799957,0.8858333230018616,0.31250831484794617,dense,20
0.9123518466949463,0.24227875471115112,0.887499988079071,0.31138306856155396,dense,21
0.9139074087142944,0.23798058927059174,0.8881666660308838,0.31132516264915466,dense,22
0.9153888821601868,0.23473680019378662,0.887666642665863,0.3109405040740967,dense,23
0.9175925850868225,0.2305786907672882,0.8898333311080933,0.31074944138526917,dense,24
0.9182222485542297,0.22725249826908112,0.8896666765213013,0.3112559914588928,dense,25
0.9194074273109436,0.2237802892923355,0.8883333206176758,0.31066039204597473,dense,26
0.9208333492279053,0.22062566876411438,0.8878333568572998,0.3124725818634033,dense,27
0.922092616558075,0.21725206077098846,0.8899999856948853,0.31434327363967896,dense,28
0.40772223472595215,1.5819441080093384,0.6493333578109741,1.098381757736206,cnn,1
0.5951481461524963,1.08700430393219,0.7251666784286499,0.8861745595932007,cnn,2
0.6600370407104492,0.9394024610519409,0.7491666674613953,0.7820029854774475,cnn,3
0.6956666707992554,0.8570276498794556,0.7724999785423279,0.7133232951164246,cnn,4
0.7161296010017395,0.8006783723831177,0.7778333425521851,0.6735143065452576,cnn,5
0.7334073781967163,0.7564589381217957,0.7948333621025085,0.6381162405014038,cnn,6
0.7455925941467285,0.7299354672431946,0.7993333339691162,0.6139947175979614,cnn,7
0.7515740990638733,0.7037481665611267,0.8043333292007446,0.5922420620918274,cnn,8
0.7595740556716919,0.6821259260177612,0.8088333606719971,0.5751336216926575,cnn,9
0.7646852135658264,0.6643897294998169,0.8131666779518127,0.5583192110061646,cnn,10
0.7722963094711304,0.6453160643577576,0.8143333196640015,0.543923556804657,cnn,11
0.7798518538475037,0.6299766898155212,0.8223333358764648,0.5298693776130676,cnn,12
0.7837592363357544,0.6141961812973022,0.8255000114440918,0.5187271237373352,cnn,13
0.7890185117721558,0.6015447378158569,0.8303333520889282,0.502869725227356,cnn,14
0.7928147912025452,0.5886370539665222,0.827833354473114,0.4996216893196106,cnn,15
0.7973703742027283,0.5774189233779907,0.8331666588783264,0.48659273982048035,cnn,16
0.7991666793823242,0.5691179633140564,0.8328333497047424,0.4827808737754822,cnn,17
0.8049259185791016,0.5556008815765381,0.8339999914169312,0.47838640213012695,cnn,18
0.8082592487335205,0.5459119081497192,0.8374999761581421,0.46514710783958435,cnn,19
0.8091481328010559,0.5397394299507141,0.8426666855812073,0.45635655522346497,cnn,20
0.8152037262916565,0.5287662744522095,0.8428333401679993,0.44727709889411926,cnn,21
0.8154814839363098,0.5226743221282959,0.8454999923706055,0.4444683790206909,cnn,22
0.8188148140907288,0.5143441557884216,0.846833348274231,0.43925032019615173,cnn,23
0.8199814558029175,0.5095997452735901,0.8516666889190674,0.43259626626968384,cnn,24
0.8239074349403381,0.5015724897384644,0.8538333177566528,0.42476123571395874,cnn,25
0.8257036805152893,0.4989702105522156,0.8538333177566528,0.4234848916530609,cnn,26
0.8286481499671936,0.4917801320552826,0.8525000214576721,0.41686245799064636,cnn,27
0.8285185098648071,0.4885597825050354,0.8551666736602783,0.4098552167415619,cnn,28
0.8310370445251465,0.4809519350528717,0.856333315372467,0.41088154911994934,cnn,29
0.8334259390830994,0.4756854772567749,0.856333315372467,0.4003054201602936,cnn,30
0.8174999952316284,0.5081957578659058,0.8796666860580444,0.34539270401000977,cnn_flatten,1
0.8787962794303894,0.33641016483306885,0.8996666669845581,0.282684862613678,cnn_flatten,2
0.8947592377662659,0.2908928096294403,0.9051666855812073,0.2605944275856018,cnn_flatten,3
0.903333306312561,0.2653266191482544,0.9126666784286499,0.24085809290409088,cnn_flatten,4
0.9121111035346985,0.24170206487178802,0.9185000061988831,0.2262554168701172,cnn_flatten,5
0.9183889031410217,0.22269096970558167,0.9173333048820496,0.2215932458639145,cnn_flatten,6
0.9237592816352844,0.20792146027088165,0.9198333621025085,0.2136252373456955,cnn_flatten,7
0.9280925989151001,0.19452330470085144,0.9229999780654907,0.2098672091960907,cnn_flatten,8
0.9334814548492432,0.17908498644828796,0.9265000224113464,0.2036086469888687,cnn_flatten,9
0.9380925893783569,0.16695243120193481,0.9265000224113464,0.20091994106769562,cnn_flatten,10
0.9416481256484985,0.15478023886680603,0.9244999885559082,0.2062491476535797,cnn_flatten,11
0.9457407593727112,0.14742997288703918,0.9283333420753479,0.20188452303409576,cnn_flatten,12
