modelo,f1_macro_valid,f1_macro_test,accuracy_test,precision_spam_test,recall_spam_test,f1_spam_test,recall_ham_test,inferencia_ms_por_texto,tamano_kb
dummy,0.4675414364640884,0.46790890269151136,0.8793774319066148,0.0,0.0,0.0,1.0,0.010809662775861295,862.2197265625
naive_bayes,0.9543579927777888,0.9755447711485394,0.9896238651102465,0.956989247311828,0.956989247311828,0.956989247311828,0.9941002949852508,0.012424718544047794,2355.8603515625
logistic,0.9539325618912944,0.9694309639356742,0.9870298313878081,0.946236559139785,0.946236559139785,0.946236559139785,0.9926253687315634,0.013631538260877905,1161.17578125
