modelo,usuarios,precision@10,recall@10,ndcg@10,hit@10,cobertura,novedad,pareto
popularidad,506,0.027865612648221346,0.04973854058913782,0.04253341131352031,0.20553359683794467,0.0067179846046186145,2.1899343452931883,False
contenido,506,0.005335968379446641,0.009060349509954253,0.009270864467455099,0.045454545454545456,0.10356892932120364,6.303548315938551,False
factorizacion,506,0.030039525691699608,0.052740047117590665,0.049731765118452016,0.21146245059288538,0.071518544436669,2.6384628732545465,False
hibrido_a0.25,506,0.009683794466403163,0.015214143784574478,0.016417515349286305,0.09090909090909091,0.16808957312806158,5.742182616643872,True
hibrido_a0.5,506,0.021541501976284586,0.033125666291797924,0.03626547739300112,0.15810276679841898,0.14219734079776067,4.123077908237501,True
hibrido_a0.75,506,0.033399209486166,0.055441660867665304,0.05272297384579266,0.22727272727272727,0.09783065080475857,3.017383239799874,True
