tarea,modelo,precision_macro,recall_macro,f1_macro,accuracy,roc_auc,msePI2,r2PI2,mse,r2
dicotomica,regresion_logistica,0.7065650588516268,0.7057194113645726,0.7059504236554339,0.707089126966036,0.7843934310449037,0.29291087303396396,-0.17410819724985194,,
dicotomica,random_forest,0.7173005018079661,0.7161323854872242,0.7135816854359178,0.713699566902211,0.7874937100918867,0.2863004330977889,-0.14761081380997187,,
dicotomica,gradient_boosting,0.7216804198307927,0.7210303390177163,0.718898146750796,0.718942329610212,0.7975703719918306,0.281057670389788,-0.1265956476335155,,
ordinal,regresion_logistica,0.49428265665865595,0.3985021559296552,0.3669200358269899,0.5222247549578299,,1.0241622976977434,-0.06529602637288234,,
ordinal,random_forest,0.44145062954035813,0.4611747273330746,0.43757775397982157,0.4582858445406884,,1.1187599726464554,-0.16369305529448175,,
ordinal,gradient_boosting,0.4849960353403144,0.41418915758132663,0.4028214939337949,0.5390927741053112,,0.9015272395714611,0.06226445931343216,,
intervalo_razon,ridge,,,,,,,,216.07024920223824,0.2129978197451694
intervalo_razon,random_forest,,,,,,,,226.28431605779485,0.17579467440576757
intervalo_razon,gradient_boosting,,,,,,,,213.49099303883537,0.22239235801005497
