modelo,mse_pixel,bce_por_imagen,parametros,segundos,epocas,tamano_kb,perdida_valid,kl_valid
media,0.08664162121788187,385.0185654257193,784,0.0,,,,
pca_16,0.019821900614543256,249.27961423128554,13328,0.22753662499962957,,,,
ae_16,0.01791294832069993,234.5889018467058,25888,19.828095166998537,30.0,330.65234375,,
vae_2,0.029179194680838183,257.9558406919991,202516,41.19839037499696,40.0,832.9560546875,262.9199523925781,6.341322422027588
vae_16,0.013997415045125583,223.93846405310467,207920,44.180405084000085,40.0,854.0703125,242.60333251953125,15.643712997436523
