sensitive_feature_0,count,accuracy,selection_rate,recall,precision,fpr
G1 | 18-29,18.0,0.8333333333333334,0.2777777777777778,0.75,0.6,0.14285714285714285
G1 | 30-44,24.0,0.6666666666666666,0.4166666666666667,0.5625,0.9,0.125
G1 | 45-59,35.0,0.6,0.4857142857142857,0.5882352941176471,0.5882352941176471,0.3888888888888889
G1 | 60+,24.0,0.7916666666666666,0.5416666666666666,0.8333333333333334,0.7692307692307693,0.25
G2 | 18-29,11.0,0.9090909090909091,0.6363636363636364,0.875,1.0,0.0
G2 | 30-44,14.0,0.6428571428571429,0.6428571428571429,0.6666666666666666,0.8888888888888888,0.5
G2 | 45-59,8.0,1.0,0.75,1.0,1.0,0.0
G2 | 60+,26.0,0.6538461538461539,0.6923076923076923,0.7647058823529411,0.7222222222222222,0.5555555555555556
