sensitive_feature_0,count,accuracy,selection_rate,recall,precision,fpr
G1 | 18-29,18.0,0.7777777777777778,0.3333333333333333,0.75,0.5,0.21428571428571427
G1 | 30-44,24.0,0.625,0.5416666666666666,0.625,0.7692307692307693,0.375
G1 | 45-59,35.0,0.6857142857142857,0.45714285714285713,0.6470588235294118,0.6875,0.2777777777777778
G1 | 60+,24.0,0.6666666666666666,0.4166666666666667,0.5833333333333334,0.7,0.25
G2 | 18-29,11.0,1.0,0.7272727272727273,1.0,1.0,0.0
G2 | 30-44,14.0,0.7142857142857143,0.8571428571428571,0.8333333333333334,0.8333333333333334,1.0
G2 | 45-59,8.0,0.75,0.5,0.6666666666666666,1.0,0.0
G2 | 60+,26.0,0.6538461538461539,0.6923076923076923,0.7647058823529411,0.7222222222222222,0.5555555555555556
