modelo,particion,accuracy,f1_macro,precision_macro,recall_b,recall_g,roc_auc
Baseline,entrenamiento,0.6428571428571429,0.391304347826087,0.32142857142857145,0.0,1.0,0.5
Baseline,validacion,0.6428571428571429,0.391304347826087,0.32142857142857145,0.0,1.0,0.5
Baseline,prueba,0.6428571428571429,0.391304347826087,0.32142857142857145,0.0,1.0,0.5
SVM,entrenamiento,0.9857142857142858,0.9843978305554868,0.9858903020667726,0.9733333333333334,0.9925925925925926,0.9998024691358025
SVM,validacion,0.9571428571428572,0.9529042386185244,0.957427536231884,0.92,0.9777777777777777,0.9955555555555556
SVM,prueba,0.9428571428571428,0.9377777777777778,0.9377777777777778,0.92,0.9555555555555556,0.9706666666666667
