mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__kernel,param_svm__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0033091068267822265,0.00045711333550554325,0.001991605758666992,0.0002405658633030224,0.1,linear,,"{'svm__C': 0.1, 'svm__kernel': 'linear'}",0.7904490377761939,0.8089668615984404,0.7214854111405835,0.8328912466843501,0.825,0.7957585114399137,0.03988245010656546,9,0.90625,0.9078369905956113,0.9278772977403114,0.9341692789968652,0.9125525525525525,0.9177372239770681,0.011222168075594676
0.003394412994384766,0.0002539922885537993,0.002004575729370117,9.470139624202755e-05,1.0,linear,,"{'svm__C': 1, 'svm__kernel': 'linear'}",0.800677966101695,0.9464285714285714,0.7321428571428572,0.8328912466843501,0.8328912466843501,0.8290063776083649,0.06928664591750461,8,0.9740740740740741,0.9409905163329821,0.9605015673981192,0.9677109359984624,0.9672169535183234,0.9620988094643922,0.011394819405351803
0.004761600494384765,0.0005468427406954739,0.0026203155517578124,0.00045720345768266444,10.0,linear,,"{'svm__C': 10, 'svm__kernel': 'linear'}",0.800677966101695,0.8721850273889227,0.7925925925925925,0.9181286549707601,0.8928571428571428,0.8552882767822225,0.05011759742591082,7,0.987130381492263,0.961111111111111,0.9869382677655109,0.987130381492263,0.9804825155868799,0.9805585314896057,0.010052734927971686
0.003375816345214844,0.00019668347294079928,0.002224445343017578,2.8487977459965954e-05,0.1,rbf,scale,"{'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.520632133450395,0.45955882352941174,0.520632133450395,0.5757575757575758,0.391304347826087,0.49357700280277295,0.06298339342549632,10,0.7243965315209749,0.6493738819320215,0.7142857142857142,0.671875,0.6377676377676378,0.6795397531012697,0.03444720665532927
0.0032878398895263674,0.00016390297773743263,0.002476787567138672,0.0001217369654102534,0.1,rbf,0.01,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.0,11,0.4264186484577349,0.40912071535022354,0.4264186484577349,0.40912071535022354,0.4264186484577349,0.4194994752147304,0.008474221943639733
0.0034592151641845703,0.00016481626502656092,0.0024906158447265624,4.7094423075311634e-05,0.1,rbf,0.1,"{'svm__C': 0.1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.0,11,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.391304347826087,0.0
0.003472042083740234,0.00028820691868135164,0.0021503448486328127,0.0001358859073007823,1.0,rbf,scale,"{'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.8328912466843501,1.0,0.9210031347962382,0.9736677115987461,0.9464285714285714,0.9347981329015811,0.05739810128003044,2,0.9738765355310216,0.9473354231974922,0.9672169535183234,0.9608148032965325,0.9541037349256527,0.9606694900938045,0.009361868652426823
0.0032909870147705077,0.00022095965053032124,0.002008676528930664,0.00014511800761006345,1.0,rbf,0.01,"{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.7666666666666666,0.9736677115987461,0.8885941644562334,0.9464285714285714,0.8576271186440678,0.8865968465588571,0.0726466149285609,6,0.9464285714285714,0.9125525525525525,0.9330357142857143,0.9181286549707601,0.9253122095138019,0.9270915405502802,0.011867059226548295
0.003324413299560547,0.0002620732593156146,0.002164411544799805,0.00019554180834705458,1.0,rbf,0.1,"{'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8928571428571428,0.9011764705882352,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9276956115779645,0.025186911275934226,3,0.9804825155868799,0.9806265615990775,0.9934941718622934,0.980330172110994,0.9935421871996926,0.9856951216717876,0.006388205827463756
0.003174018859863281,0.00016953672741613904,0.002300596237182617,0.00022240334259228647,10.0,rbf,scale,"{'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.8928571428571428,0.9744370054777846,0.9210031347962382,0.9736677115987461,0.9464285714285714,0.9416787132316966,0.0314005992228681,1,0.9870370370370369,0.9935421871996926,0.9934941718622934,0.9934941718622934,0.9870370370370369,0.9909209209996707,0.0031712264430583115
0.0031856536865234376,0.0003204211447945933,0.0020519256591796874,0.00027059122713867043,10.0,rbf,0.01,"{'svm__C': 10, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.8635477582846003,0.9744370054777846,0.8928571428571428,0.9736677115987461,0.9181286549707601,0.9245276546378068,0.04397318449197919,4,0.9804825155868799,0.9672169535183234,0.980330172110994,0.980330172110994,0.9672169535183234,0.9751153533691029,0.006449256386577908
0.0033425807952880858,0.00026160067888383523,0.0021280765533447264,0.0001573855488428669,10.0,rbf,0.1,"{'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8928571428571428,0.9011764705882352,0.8990384615384616,0.9736677115987461,0.9481481481481482,0.9229775869461466,0.03212057733097164,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
