accuracy,loss,val_accuracy,val_loss,modelo,epoca
0.7960555553436279,0.6063967347145081,0.843999981880188,0.44919833540916443,dense,1
0.8491296172142029,0.43677768111228943,0.862333357334137,0.4036584496498108,dense,2
0.8617963194847107,0.3979825973510742,0.8686666488647461,0.38133710622787476,dense,3
0.8689814805984497,0.37346839904785156,0.8705000281333923,0.3669702410697937,dense,4
0.8746111392974854,0.35510897636413574,0.8736666440963745,0.3560253381729126,dense,5
0.8789814710617065,0.3410280644893646,0.875,0.34859463572502136,dense,6
0.88227778673172,0.3296620845794678,0.875166654586792,0.3477960526943207,dense,7
0.8856852054595947,0.3193000257015228,0.8768333196640015,0.3439813554286957,dense,8
0.40772223472595215,1.5819441080093384,0.6493333578109741,1.098381757736206,cnn,1
0.5951481461524963,1.08700430393219,0.7251666784286499,0.8861745595932007,cnn,2
0.6600370407104492,0.9394024610519409,0.7491666674613953,0.7820029854774475,cnn,3
0.6956666707992554,0.8570276498794556,0.7724999785423279,0.7133232951164246,cnn,4
0.7161296010017395,0.8006783723831177,0.7778333425521851,0.6735143065452576,cnn,5
0.7334073781967163,0.7564589381217957,0.7948333621025085,0.6381162405014038,cnn,6
0.7455925941467285,0.7299354672431946,0.7993333339691162,0.6139947175979614,cnn,7
0.7515740990638733,0.7037481665611267,0.8043333292007446,0.5922420620918274,cnn,8
