sensitive_feature_0,count,accuracy,selection_rate,recall,precision,fpr,n_suficiente
G1 | 18-29,18.0,0.5555555555555556,0.5555555555555556,0.75,0.3,0.5,False
G1 | 30-44,24.0,0.7083333333333334,0.625,0.75,0.8,0.375,False
G1 | 45-59,35.0,0.7142857142857143,0.4857142857142857,0.7058823529411765,0.7058823529411765,0.2777777777777778,True
G1 | 60+,24.0,0.75,0.5833333333333334,0.8333333333333334,0.7142857142857143,0.3333333333333333,False
G2 | 18-29,11.0,0.7272727272727273,0.8181818181818182,0.875,0.7777777777777778,0.6666666666666666,False
G2 | 30-44,14.0,0.7857142857142857,0.6428571428571429,0.75,1.0,0.0,False
G2 | 45-59,8.0,0.875,0.625,0.8333333333333334,1.0,0.0,False
G2 | 60+,26.0,0.6153846153846154,0.5769230769230769,0.6470588235294118,0.7333333333333333,0.4444444444444444,False
