modelo,ajuste_s,inferencia_ms_fila,tamano_kib,accuracy,f1_macro,precision_macro,recall_b,recall_g,roc_auc,pareto
RF_150,0.11166300000000007,0.0766830285714258,464.001953125,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9822222222222222,False
RF_50,0.03675937499999993,0.03364345714285439,123.220703125,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9768888888888889,False
GB_100,0.1040562089999999,0.012288992857142514,84.9228515625,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9715555555555555,False
GB_50,0.05399137499999984,0.011609521428569889,49.6103515625,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9733333333333333,True
SVM_PCA95,0.003506666999999908,0.014846721428574128,22.2626953125,0.9428571428571428,0.9352451433857539,0.9591836734693877,0.84,1.0,0.9946666666666667,False
SVM,0.0030292499999999833,0.013597914285704402,20.3095703125,0.9571428571428572,0.9529042386185244,0.957427536231884,0.92,0.9777777777777777,0.9955555555555556,True
