componente,varianza_acumulada
1,0.27665543403225684
2,0.41092260462980656
3,0.4951434712287851
4,0.5713178668527962
5,0.6373602355101338
6,0.679602848826978
7,0.7146292103535943
8,0.7447380865825123
9,0.7729853268350036
10,0.8002472701050741
11,0.8210325243513787
12,0.8408766945340961
13,0.8597140756773749
14,0.8770181690116013
15,0.8914488053681595
16,0.9047502685101666
17,0.9162145821537191
18,0.9268634868488619
19,0.9366669885613491
20,0.9459837479707874
21,0.9536986096060911
22,0.9599962616036298
23,0.9661607368093296
24,0.97191717280095
25,0.9772149021580644
26,0.982049805091932
27,0.9858145777360275
28,0.9892293187425116
29,0.9923328114059379
30,0.9950469854130477
31,0.9971430237136157
32,0.9985829641646015
33,1.0
34,1.0
